vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
1,351,37.1726495726496,12.7885526307037,35,35.8711743772242,10.3782,13,83,70,0.971109129135704,0.989466968492586,0.682602440864591
2,351,25.4378917378917,7.88200591580704,24.5,24.9779359430605,6.6717,4,60,56,0.658701622433998,1.38171304496754,0.420710351859652
3,351,18.0450142450142,11.3108277801063,17,17.4128113879004,13.3434,1,60,59,0.501867812227821,-0.0952582226914194,0.603727323478573
4,351,20727.1056980057,22432.1284379086,13786.875,17032.7344661922,14942.940075,376.25,180000,179623.75,2.54111849171526,10.4313680248027,1197.3384375603
5,343,3454.67930029155,4377.02094567061,1538,2584.48,1835.4588,29,25000,24971,1.98396654813333,4.22697577380104,236.336916440106
6,351,0.111111111111111,0.314718316987777,0,0.0142348754448399,0,0,1,1,2.46430488729106,4.0844595417245,0.0167984210226323
7,351,0.0284900284900285,0.166605605420189,0,0,0,0,1,1,5.64406746186022,29.9408233323315,0.00889274933650457
8,351,0.138180704669516,0.1495475229302,0.0919125,0.113551563120996,0.0996196005,0.002508333,1.2,1.197491667,2.54111849109043,10.4313680201854,0.00798225625097896
9,351,0.9002849002849,0.300047479623626,1,1,0,0,1,1,-2.66054217795301,5.09301903373092,0.0160153496553336
10,351,0.0056980056980057,0.0753772225657438,0,0,0,0,1,1,13.0780548747882,169.518502331399,0.0040233384961359
11,351,0.0199430199430199,0.140004069944911,0,0,0,0,1,1,6.83821972520468,44.8891626898981,0.00747286441515897
12,351,0.00854700854700855,0.0921855113245487,0,0,0,0,1,1,10.6318841960947,111.3542344176,0.00492049857865931
13,351,0.128205128205128,0.334795328653062,0,0.0355871886120996,0,0,1,1,2.21470011924847,2.91322071965611,0.0178700526265941
14,351,0.213675213675214,0.410485284143255,0,0.142348754448399,0,0,1,1,1.39108054403805,-0.0650559372224184,0.0219100835713387
15,351,0.247863247863248,0.432388375144044,0,0.185053380782918,0,0,1,1,1.16292864593235,-0.649422844677781,0.0230791840795324
16,351,0.125356125356125,0.331594978784707,0,0.0320284697508897,0,0,1,1,2.25320971111691,3.0857696962544,0.017699230587944
17,351,0.0056980056980057,0.0753772225657438,0,0,0,0,1,1,13.0780548747882,169.518502331399,0.0040233384961359
18,351,0.108262108262108,0.311154715241882,0,0.0106761565836299,0,0,1,1,2.51078842925206,4.3163802434037,0.0166082100331434
19,351,0.0199430199430199,0.140004069944911,0,0,0,0,1,1,6.83821972520468,44.8891626898981,0.00747286441515897
20,351,0.0455840455840456,0.208879016730843,0,0,0,0,1,1,4.33860068051808,16.8715472785826,0.0111491371059106
21,351,0.00284900284900285,0.0533760512683624,0,0,0,0,1,1,18.5751699784344,344.017069666642,0.00284900284900285
22,351,0.0227920227920228,0.149452943551415,0,0,0,0,1,1,6.36786936428113,38.6599268094995,0.00797720797720798
23,351,0.00854700854700855,0.0921855113245487,0,0,0,0,1,1,10.6318841960947,111.3542344176,0.00492049857865931
24,351,0.094017094017094,0.292269131830998,0,0,0,0,1,1,2.77022932248077,5.69040681167758,0.0156001721647711
25,351,0.0056980056980057,0.0753772225657438,0,0,0,0,1,1,13.0780548747882,169.518502331399,0.0040233384961359
26,351,0.00284900284900285,0.0533760512683624,0,0,0,0,1,1,18.5751699784344,344.017069666642,0.00284900284900285
27,351,0.133903133903134,0.341034362351415,0,0.0427046263345196,0,0,1,1,2.14086259557727,2.5906978861272,0.0182030676091424
28,351,0.205128205128205,0.404371714535628,0,0.131672597864769,0,0,1,1,1.45426444886618,0.11523772717597,0.0215837653665293
29,351,0.0911680911680912,0.288258916762696,0,0,0,0,1,1,2.82847899476766,6.0174615161721,0.0153861227196883
30,351,0.00284900284900285,0.0533760512683624,0,0,0,0,1,1,18.5751699784344,344.017069666642,0.00284900284900285
31,351,0.00854700854700855,0.0921855113245487,0,0,0,0,1,1,10.6318841960947,111.3542344176,0.00492049857865931
32,351,0.056980056980057,0.232135421439413,0,0,0,0,1,1,3.80603507384514,12.5216013886967,0.012390472155953
33,351,0.324786324786325,0.468963473979307,0,0.281138790035587,0,0,1,1,0.745109163710761,-1.44891597256118,0.0250314184301088
